rentcafe_property_code,voyager_property_code,voyager_property_id,property_name,property_address,rentcafe_property_id
p1655261,ATL00009,3540,637 Valtek Court,"637 Valtek Court, Suwanee, GA, 30024",1687118
p1655262,ATL00010,3541,627 Valtek Court,"627 Valtek Court, Suwanee, GA, 30024",1687119
p1655263,ATL00011,3542,617 Valtek Court,"617 Valtek Court, Suwanee, GA, 30024",1687120
p1655264,ATL00012,3543,607 Valtek Court,"607 Valtek Court, Suwanee, GA, 30024",1687121
p1655265,ATL00013,3544,997 Valtek Court,"997 Valtek Court, Suwanee, GA, 30024",1687122
p1655266,ATL00014,3545,987 Valtek Court,"987 Valtek Court, Suwanee, GA, 30024",1687123
p1655267,ATL00015,3546,977 Valtek Court,"977 Valtek Court, Suwanee, GA, 30024",1687124
p1655268,ATL00016,3547,967 Valtek Court,"967 Valtek Court, Suwanee, GA, 30024",1687125
p1655269,ATL00017,3548,957 Valtek Court,"957 Valtek Court, Suwanee, GA, 30024",1687126
p1655270,ATL00018,3549,947 Valtek Court,"947 Valtek Court, Suwanee, GA, 30024",1687127
p1655271,ATL00019,3550,937 Valtek Court,"937 Valtek Court, Suwanee, GA, 30024",1687128
p1655272,ATL00020,3551,5325 Salem Springs Place,"5325 Salem Springs Place, Lithonia, GA, 30038",1687129
p1655273,ATL00021,3552,6575 Smoke Ridge Dr,"6575 Smoke Ridge Dr, College Park, GA, 30349",1687130
p1655274,ATL00022,3553,6560 Hayes Dr,"6560 Hayes Dr, Riverdale, GA, 30274",1687131
p1655275,ATL00023,3554,612 Watson Bay,"612 Watson Bay, Stone Mountain, GA, 30087",1687132
p1655276,ATL00024,3555,5312 Shirewick Drive,"5312 Shirewick Drive, Lithonia, GA, 30058",1687133
p1655277,ATL00025,3556,5260 Tussahaw Crossing,"5260 Tussahaw Crossing, McDonough, GA, 30252",1687134
p1655278,ATL00026,3557,1252 Gates Cir SE,"1252 Gates Cir SE, Atlanta, GA, 30316",1687135
p1655279,ATL00027,3558,5284 Hanover Street,"5284 Hanover Street, Atlanta, GA, 30349",1687136
p1655280,ATL00028,3559,6487 York Rd,"6487 York Rd, Morrow, GA, 30260",1687137
p1655281,ATL00029,3560,4208 Brass Trail,"4208 Brass Trail, Austell, GA, 30106",1687138
p1655282,ATL00030,3561,4988 Truitt Lane,"4988 Truitt Lane, Decatur, GA, 30035",1687139
p1655283,ATL00031,3562,644 Rayella Dr,"644 Rayella Dr, Stockbridge, GA, 30281",1687140
p1655284,ATL00032,3563,4923 River Overlook Way,"4923 River Overlook Way, Lithonia, GA, 30038",1687141
p1655285,ATL00033,3564,3752 Ozmer Court,"3752 Ozmer Court, Decatur, GA, 30034",1687142
p1655286,ATL00034,3565,3596 Brookstone Way,"3596 Brookstone Way, Union City, GA, 30291",1687143
p1655287,ATL00035,3566,8335 Milam Loop,"8335 Milam Loop, Fairburn, GA, 30213",1687144
p1655288,ATL00036,3567,8120 Chapman Terrace,"8120 Chapman Terrace, McDonough, GA, 30252",1687145
p1655289,ATL00037,3568,3521 Waldrop Ridge Court,"3521 Waldrop Ridge Court, Decatur, GA, 30034",1687146
p1655290,ATL00038,3569,350 Magnolia Walk Lane,"350 Magnolia Walk Lane, College Park, GA, 30349",1687147
p1655291,ATL00039,3570,3154 Snapfinger Lane,"3154 Snapfinger Lane, Decatur, GA, 30034",1687148
p1655292,ATL00040,3571,6621 Gina Agha Circle,"6621 Gina Agha Circle, Lithonia, GA, 30038",1687149
p1655293,ATL00041,3572,151 Oakland Boulevard,"151 Oakland Boulevard, Stockbridge, GA, 30281",1687150
p1655294,ATL00042,3573,5023 Wolfcreek Hill,"5023 Wolfcreek Hill, College Park, GA, 30349",1687151
p1655295,ATL00043,3574,2842 Topaz Road,"2842 Topaz Road, Riverdale, GA, 30296",1687152
p1655296,ATL00044,3575,190 Rosewood Drive,"190 Rosewood Drive, McDonough, GA, 30253",1687153
p1655297,ATL00045,3576,3021 Botany Dr,"3021 Botany Dr, Jonesboro, GA, 30236",1687154
p1655298,ATL00046,3577,5906 Eagles Crossing Lane,"5906 Eagles Crossing Lane, Riverdale, GA, 30274",1687155
p1655299,ATL00047,3578,5000 Mclain Dr,"5000 Mclain Dr, Acworth, GA, 30101",1687156
p1655300,ATL00048,3579,2159 Mulberry Lane,"2159 Mulberry Lane, Lithonia, GA, 30058",1687157
p1655301,ATL00049,3580,6403 Valerie Bluff,"6403 Valerie Bluff, Lithonia, GA, 30058",1687158
p1655302,ATL00050,3581,3153 Colorado Drive,"3153 Colorado Drive, Powder Springs, GA, 30127",1687159
p1655303,ATL00051,3582,2379 Ridgeway Drive,"2379 Ridgeway Drive, Doraville, GA, 30360",1687160
p1655304,ATL00052,3583,2978 Monterey Dr,"2978 Monterey Dr, Decatur, GA, 30032",1687161
p1655305,ATL00053,3584,4830 Buckeye Pl,"4830 Buckeye Pl, College Park, GA, 30349",1687162
p1655306,ATL00054,3585,"3148 Welmingham Dr, SW","3148 Welmingham Dr, SW, Atlanta, GA, 30331",1687163
p1655307,ATL00055,3586,1945 Owens Trail,"1945 Owens Trail, Rex, GA, 30273",1687164
p1655308,ATL00056,3587,328 Fernhill Court,"328 Fernhill Court, Jonesboro, GA, 30236",1687165
p1655309,ATL00057,3588,4749 Edwina Ln,"4749 Edwina Ln, Atlanta, GA, 30331",1687166
p1655310,ATL00058,3589,6391 Breckenridge Run,"6391 Breckenridge Run, Rex, GA, 30273",1687167
p1655311,ATL00059,3590,1228 Mill Lake Circle,"1228 Mill Lake Circle, Stone Mountain, GA, 30088",1687168
p1655312,ATL00060,3591,2749 Topaz Road,"2749 Topaz Road, Riverdale, GA, 30296",1687169
p1655313,ATL00061,3592,289 Montego Cir,"289 Montego Cir, Riverdale, GA, 30274",1687170
p1655314,ATL00062,3593,5878 Waggoner Court,"5878 Waggoner Court, Rex, GA, 30273",1687171
p1655315,ATL00063,3594,631 Waynes Ct,"631 Waynes Ct, Atlanta, GA, 30354",1687172
p1655316,ATL00064,3595,1194 Bayridge Drive,"1194 Bayridge Drive, Riverdale, GA, 30296",1687173
p1655317,ATL00065,3596,4364 Marjorie Rd,"4364 Marjorie Rd, Snellville, GA, 30039",1687174
p1655318,ATL00066,3597,265 Buffington Drive,"265 Buffington Drive, Union City, GA, 30291",1687175
p1655319,ATL00067,3598,2813 Knollberry Ln,"2813 Knollberry Ln, Decatur, GA, 30034",1687176
p1655320,ATL00068,3599,4599 White Rd,"4599 White Rd, Douglasville, GA, 30135",1687177
p1655321,ATL00069,3600,5843 Belmont Ridge Circle,"5843 Belmont Ridge Circle, Lithonia, GA, 30038",1687178
p1655322,ATL00070,3601,6230 Cedar Wood Dr,"6230 Cedar Wood Dr, College Park, GA, 30349",1687179
p1655323,ATL00071,3602,1186 Gallahad Court,"1186 Gallahad Court, Riverdale, GA, 30296",1687180
p1655324,ATL00072,3603,45 Country Roads Circle,"45 Country Roads Circle, Stockbridge, GA, 30281",1687181
p1655325,ATL00073,3604,2573 Watercrest Court,"2573 Watercrest Court, Ellenwood, GA, 30294",1687182
p1655326,ATL00074,3605,5556 Pennybrook Trail,"5556 Pennybrook Trail, Stone Mountain, GA, 30087",1687183
p1655327,ATL00075,3606,325 Wolfcreek Cove,"325 Wolfcreek Cove, College Park, GA, 30349",1687184
p1655328,ATL00076,3607,2800 Oxford Dr,"2800 Oxford Dr, Decatur, GA, 30034",1687185
p1655329,ATL00077,3608,4083 Angels Drive,"4083 Angels Drive, Stockbridge, GA, 30281",1687186
p1655330,ATL00078,3609,1049 Privet Way,"1049 Privet Way, McDonough, GA, 30253",1687187
p1655331,ATL00079,3610,2126 Mulberry Lane,"2126 Mulberry Lane, Lithonia, GA, 30058",1687188
p1655332,ATL00080,3611,2757 Sanibel Ln,"2757 Sanibel Ln, Smyrna, GA, 30082",1687189
p1655333,ATL00081,3612,2963 Beryton Pl,"2963 Beryton Pl, Snellville, GA, 30039",1687190
p1655334,ATL00082,3613,9471 Rollinghills Drive,"9471 Rollinghills Drive, Jonesboro, GA, 30238",1687191
p1655335,ATL00083,3614,3874 Riverview Spring Court,"3874 Riverview Spring Court, Ellenwood, GA, 30294",1687192
p1655336,ATL00084,3615,2605 Haversack Ct,"2605 Haversack Ct, Marietta, GA, 30008",1687193
p1655337,ATL00085,3616,133 Michelle Drive,"133 Michelle Drive, McDonough, GA, 30252",1687194
p1655338,ATL00086,3617,509 Jarrett Court,"509 Jarrett Court, McDonough, GA, 30253",1687195
p1655339,ATL00087,3618,3699 William Trail,"3699 William Trail, Ellenwood, GA, 30294",1687196
p1655340,ATL00088,3619,8421 Timberlake Drive,"8421 Timberlake Drive, Riverdale, GA, 30296",1687197
p1655341,ATL00089,3620,2673 River Summit Lane,"2673 River Summit Lane, Decatur, GA, 30034",1687198
p1655342,ATL00090,3621,1240 Quiet Arbor Court,"1240 Quiet Arbor Court, Lithonia, GA, 30058",1687199
p1655343,ATL00091,3622,2324 Polaris Way,"2324 Polaris Way, Atlanta, GA, 30331",1687200
p1655344,ATL00092,3623,241 The Esplanade Way SE,"241 The Esplanade Way SE, Loganville, GA, 30052",1687201
p1655345,ATL00093,3624,1594 Linksview Close,"1594 Linksview Close, Stone Mountain, GA, 30088",1687202
p1655346,ATL00094,3625,1400 Hatchcover Cir,"1400 Hatchcover Cir, Jonesboro, GA, 30238",1687203
p1655347,ATL00095,3626,1559 Ashford Court,"1559 Ashford Court, Conley, GA, 30288",1687204
p1655348,ATL00096,3627,777 Amroth Court,"777 Amroth Court, Stone Mountain, GA, 30087",1687205
p1655349,ATL00097,3628,130 Highlane Drive,"130 Highlane Drive, Stockbridge, GA, 30281",1687206
p1655350,ATL00098,3629,120 Belmont Terrace,"120 Belmont Terrace, Fairburn, GA, 30213",1687207
p1655351,ATL00099,3630,2604 Clifton Run Trce SE,"2604 Clifton Run Trce SE, Atlanta, GA, 30316",1687208
p1655352,ATL00100,3631,11186 Aliyah Drive,"11186 Aliyah Drive, Hampton, GA, 30228",1687209
p1655353,ATL00101,3632,1119 Saint Phillips Court,"1119 Saint Phillips Court, Locust Grove, GA, 30248",1687210
p1655354,ATL00102,3633,7623 Crimson Court,"7623 Crimson Court, Jonesboro, GA, 30236",1687211
p1655355,ATL00103,3634,121 Glennwood Court,"121 Glennwood Court, Hampton, GA, 30228",1687212
p1655356,ATL00104,3635,5626 Norman Ct,"5626 Norman Ct, Atlanta, GA, 30349",1687213
p1655357,ATL00105,3636,2593 Brookgate Xing,"2593 Brookgate Xing, Ellenwood, GA, 30294",1687214
p1655358,ATL00106,3637,7425 Harbor Cove Court,"7425 Harbor Cove Court, Stone Mountain, GA, 30087",1687215
p1655359,ATL00107,3638,5617 Winchester Pl,"5617 Winchester Pl, Lithonia, GA, 30038",1687216
p1655360,ATL00108,3639,2586 Rainover Ct,"2586 Rainover Ct, Decatur, GA, 30034",1687217
p1655361,ATL00109,3640,2560 FoxLair Trl,"2560 FoxLair Trl, College Park, GA, 30349",1687218
p1655362,ATL00110,3641,5515 Scofield Rd,"5515 Scofield Rd, Atlanta, GA, 30349",1687219
p1655363,ATL00111,3642,2550 Regal Cir,"2550 Regal Cir, Lawrenceville, GA, 30044",1687220
p1655364,ATL00112,3643,6348 Stonebridge Creek Lane,"6348 Stonebridge Creek Lane, Lithonia, GA, 30058",1687221
p1655365,ATL00113,3644,6280 Katelyn Park,"6280 Katelyn Park, Lithonia, GA, 30058",1687222
p1655366,ATL00114,3645,5880 Meadow Lane,"5880 Meadow Lane, Rex, GA, 30273",1687223
p1655367,ATL00115,3646,9378 Whaleys Lake Lane,"9378 Whaleys Lake Lane, Jonesboro, GA, 30238",1687224
p1655368,ATL00116,3647,9348 Linkside Trace,"9348 Linkside Trace, Riverdale, GA, 30274",1687225
p1655369,ATL00117,3648,5389 Sand Bar Ln,"5389 Sand Bar Ln, College Park, GA, 30349",1687226
p1655370,ATL00118,3649,2436 Meredith Walk,"2436 Meredith Walk, Ellenwood, GA, 30294",1687227
p1655371,ATL00119,3650,5838 Gateway Boulevard,"5838 Gateway Boulevard, Stone Mountain, GA, 30087",1687228
p1655372,ATL00120,3651,1399 Pebble Beach Lane,"1399 Pebble Beach Lane, Hampton, GA, 30228",1687229
p1655373,ATL00121,3652,563 Crimson Ridge Drive,"563 Crimson Ridge Drive, Jonesboro, GA, 30238",1687230
p1655374,ATL00122,3653,8396 Willows Way,"8396 Willows Way, Riverdale, GA, 30274",1687231
p1655375,ATL00123,3654,859 River Glen Place,"859 River Glen Place, Riverdale, GA, 30296",1687232
p1655376,ATL00124,3655,"1681 Braeburn Drive, SE","1681 Braeburn Drive, SE, Atlanta, GA, 30316",1687233
p1655377,ATL00125,3656,9375 Linkside Trace,"9375 Linkside Trace, Riverdale, GA, 30274",1687234
p1655378,ATL00126,3657,1351 Jefferson Avenue,"1351 Jefferson Avenue, Atlanta, GA, 30344",1687235
p1655379,ATL00127,3658,783 Swan Lake Road,"783 Swan Lake Road, Stockbridge, GA, 30281",1687236
p1655380,ATL00128,3659,2371 Miller Oaks Circle,"2371 Miller Oaks Circle, Decatur, GA, 30035",1687237
p1655381,ATL00129,3660,235 Winston Dr,"235 Winston Dr, Mcdonough, GA, 30252",1687238
p1655382,ATL00130,3661,495 Buttercup Trail,"495 Buttercup Trail, Lawrenceville, GA, 30046",1687239
p1655383,ATL00131,3662,7132 Bowie Drive,"7132 Bowie Drive, Lithonia, GA, 30038",1687240
p1655384,ATL00132,3663,6985 Old Bethsaida Way,"6985 Old Bethsaida Way, Riverdale, GA, 30296",1687241
p1655385,ATL00133,3664,7962 Palomino Pass,"7962 Palomino Pass, Riverdale, GA, 30274",1687242
p1655386,ATL00134,3665,4876 Browns Mill Ferry Road,"4876 Browns Mill Ferry Road, Lithonia, GA, 30038",1687243
p1655387,ATL00135,3666,6695 Keswick Drive,"6695 Keswick Drive, Riverdale, GA, 30296",1687244
p1655388,ATL00136,3667,2602 South Hills Rd.,"2602 South Hills Rd., Riverdale, GA, 30296",1687245
p1655389,ATL00137,3668,663 Lynchburg Street,"663 Lynchburg Street, Hampton, GA, 30228",1687246
p1655390,ATL00138,3669,4428 Newton Estates Trail,"4428 Newton Estates Trail, Ellenwood, GA, 30294",1687247
p1655391,ATL00139,3670,6050 Turtle Point,"6050 Turtle Point, McDonough, GA, 30252",1687248
p1655392,ATL00140,3671,265 Waterfall Street Southwest,"265 Waterfall Street Southwest, Atlanta, GA, 30331",1687249
p1655393,ATL00141,3672,8081 Norris Lake Road,"8081 Norris Lake Road, Snellville, GA, 30039",1687250
p1655394,ATL00142,3673,3241 Glen Hollow Drive,"3241 Glen Hollow Drive, Rex, GA, 30273",1687251
p1655395,ATL00143,3674,657 Rayella Drive,"657 Rayella Drive, Stockbridge, GA, 30281",1687252
p1655396,ATL00144,3675,3110 Bonnes Drive,"3110 Bonnes Drive, Lithonia, GA, 30038",1687253
p1655397,ATL00145,3676,5875 Eagles Feather Lane,"5875 Eagles Feather Lane, Riverdale, GA, 30274",1687254
p1655398,ATL00146,3677,2426 Charleston Pointe Court SE,"2426 Charleston Pointe Court SE, Atlanta, GA, 30316",1687255
p1655399,ATL00147,3678,6523 Grey Fox Way,"6523 Grey Fox Way, Riverdale, GA, 30296",1687256
p1655400,ATL00148,3679,7907 Clearview Circle,"7907 Clearview Circle, Riverdale, GA, 30296",1687257
p1655401,ATL00149,3680,3159 Hardin Court,"3159 Hardin Court, Lithonia, GA, 30038",1687258
p1655402,ATL00150,3681,5720 Albans Way,"5720 Albans Way, Lithonia, GA, 30058",1687259
p1655403,ATL00151,3682,5063 Springtree Ct,"5063 Springtree Ct, Lithonia, GA, 30038",1687260
p1655404,ATL00152,3683,687 Lakes Circle,"687 Lakes Circle, Lithonia, GA, 30058",1687261
p1655405,ATL00153,3684,648 Assolas Court,"648 Assolas Court, Fairburn, GA, 30213",1687262
p1655406,ATL00154,3685,2138 Golden Dawn Dr SW,"2138 Golden Dawn Dr SW, Atlanta, GA, 30311",1687263
p1655407,ATL00155,3686,305 Shadetree Lane,"305 Shadetree Lane, Lawrenceville, GA, 30044",1687264
p1655408,ATL00156,3687,560 Sable View Lane,"560 Sable View Lane, Atlanta, GA, 30349",1687265
p1655409,ATL00157,3688,5060 Conestoga Ct,"5060 Conestoga Ct, Stone Mountain, GA, 30087",1687266
p1655410,ATL00158,3689,6202 Hickory Lane Circle,"6202 Hickory Lane Circle, Union City, GA, 30291",1687267
p1655411,ATL00159,3690,4346 Hambrick Place,"4346 Hambrick Place, Stone Mountain, GA, 30083",1687268
p1655412,ATL00160,3691,5045 Promenade Dr SW,"5045 Promenade Dr SW, Atlanta, GA, 30331",1687269
p1655413,ATL00161,3692,3030 Hampton Ridge Way,"3030 Hampton Ridge Way, Snellville, GA, 30078",1687270
p1655414,ATL00162,3693,4652 Garden City Drive,"4652 Garden City Drive, Lithonia, GA, 30038",1687271
p1655415,ATL00163,3694,5877 Pecan Grove,"5877 Pecan Grove, Ellenwood, GA, 30294",1687272
p1655416,ATL00164,3695,6437 Polar Fox Court,"6437 Polar Fox Court, Riverdale, GA, 30296",1687273
p1655417,ATL00165,3696,4790 Janice Dr,"4790 Janice Dr, Atlanta, GA, 30337",1687274
p1655418,ATL00166,3697,5847 Waggoner Cove,"5847 Waggoner Cove, Rex, GA, 30273",1687275
p1655419,ATL00167,3698,2525 Hallie Mill Road,"2525 Hallie Mill Road, College Park, GA, 30349",1687276
p1655420,ATL00168,3699,312 Falling Timber Court,"312 Falling Timber Court, Stockbridge, GA, 30281",1687277
p1655421,ATL00169,3700,4976 Truitt Lane,"4976 Truitt Lane, Decatur, GA, 30035",1687278
p1655422,ATL00170,3701,5515 Old Bill Cook Road Southwest,"5515 Old Bill Cook Road Southwest, Atlanta, GA, 30349",1687279
p1655423,ATL00171,3702,"4787 Habersham Ridge, SW","4787 Habersham Ridge, SW, Lilburn, GA, 30047",1687280
p1655424,ATL00172,3703,2259 Hampton Drive,"2259 Hampton Drive, Decatur, GA, 30035",1687281
p1655425,ATL00173,3704,6179 Sable Fox Drive,"6179 Sable Fox Drive, Riverdale, GA, 30296",1687282
p1655426,ATL00174,3705,3073 Cobb Trail,"3073 Cobb Trail, Decatur, GA, 30034",1687283
p1655427,ATL00175,3706,4905 Galleon Crossing,"4905 Galleon Crossing, Decatur, GA, 30035",1687284
p1655428,ATL00176,3707,5647 Windfall Lane,"5647 Windfall Lane, Lithonia, GA, 30058",1687285
p1655429,ATL00177,3708,47 Lake Ct,"47 Lake Ct, Stockbridge, GA, 30281",1687286
p1655430,ATL00178,3709,6170 Flagstaf Walk,"6170 Flagstaf Walk, McDonough, GA, 30252",1687287
p1655431,ATL00179,3710,1947 Main St NW,"1947 Main St NW, Atlanta, GA, 30318",1687288
p1655432,ATL00180,3711,4840 Truitt Lane,"4840 Truitt Lane, Decatur, GA, 30035",1687289
p1655433,ATL00181,3712,4395 Chestnut Lake Avenue,"4395 Chestnut Lake Avenue, Lithonia, GA, 30038",1687290
p1655434,ATL00182,3713,2336 Columbia Woods Court,"2336 Columbia Woods Court, Decatur, GA, 30032",1687291
p1655435,ATL00183,3714,4132 Shining Armor Drive,"4132 Shining Armor Drive, Conley, GA, 30288",1687292
p1655436,ATL00184,3715,3983 Smithfield Trail,"3983 Smithfield Trail, Ellenwood, GA, 30294",1687293
p1655437,ATL00185,3716,185 Cool Weather Drive,"185 Cool Weather Drive, Lawrenceville, GA, 30045",1687294
p1655438,ATL00186,3717,2111 PineView Trail,"2111 PineView Trail, Ellenwood, GA, 30294",1687295
p1655439,ATL00187,3718,3943 Belmont Ridge Drive,"3943 Belmont Ridge Drive, Lithonia, GA, 30038",1687296
p1655440,ATL00188,3719,4115 Conley Pond Court,"4115 Conley Pond Court, Decatur, GA, 30034",1687297
p1655441,ATL00189,3720,170 Memory Lane,"170 Memory Lane, Stockbridge, GA, 30281",1687298
p1655442,ATL00190,3721,19 Old Farm Rd,"19 Old Farm Rd, Marietta, GA, 30068",1687299
p1655443,ATL00191,3722,120 Den Ric Drive,"120 Den Ric Drive, McDonough, GA, 30253",1687300
p1655444,ATL00192,3723,3829 Boulder Knoll Court,"3829 Boulder Knoll Court, Ellenwood, GA, 30294",1687301
p1655445,ATL00193,3724,3629 Summit Pines,"3629 Summit Pines, Decatur, GA, 30034",1687302
p1655446,ATL00194,3725,4426 Roche St,"4426 Roche St, College Park, GA, 30349",1687303
p1655447,ATL00195,3726,2195 PineView Trail,"2195 PineView Trail, Ellenwood, GA, 30294",1687304
p1655448,ATL00196,3727,1770 Graywood Dr SE,"1770 Graywood Dr SE, Mableton, GA, 30126",1687305
p1655449,ATL00197,3728,3369 Lake Forge,"3369 Lake Forge, Fairburn, GA, 30213",1687306
p1655450,ATL00198,3729,2075 PineView Trail,"2075 PineView Trail, Ellenwood, GA, 30294",1687307
p1655451,ATL00199,3730,3318 Royal Springs Court,"3318 Royal Springs Court, Decatur, GA, 30034",1687308
p1655452,ATL00200,3731,4400 Old Allgood Cir,"4400 Old Allgood Cir, Stone Mountain, GA, 30083",1687309
p1655453,ATL00201,3732,1753 Lamancha Dr,"1753 Lamancha Dr, Lawrenceville, GA, 30044",1687310
p1655454,ATL00202,3733,4392 Westchester Ct,"4392 Westchester Ct, Decatur, GA, 30035",1687311
p1655455,ATL00203,3734,1827 Roble Drive,"1827 Roble Drive, Atlanta, GA, 30349",1687312
p1655456,ATL00204,3735,2660 Evergreen Trail,"2660 Evergreen Trail, Smyrna, GA, 30082",1687313
p1655457,ATL00205,3736,1667 Cutters Mill Drive,"1667 Cutters Mill Drive, Lithonia, GA, 30058",1687314
p1655458,ATL00206,3737,55 Camden Way,"55 Camden Way, Fairburn, GA, 30213",1687315
p1655459,ATL00207,3738,2419 Fripp Terrace,"2419 Fripp Terrace, Riverdale, GA, 30296",1687316
p1655460,ATL00208,3739,43 Camden Way,"43 Camden Way, Fairburn, GA, 30213",1687317
p1655461,ATL00209,3740,2154 Kellington Drive,"2154 Kellington Drive, McDonough, GA, 30253",1687318
p1655462,ATL00210,3741,1640 Township Terrace,"1640 Township Terrace, McDonough, GA, 30252",1687319
p1655463,ATL00211,3742,1501 Buckingham Place,"1501 Buckingham Place, Stockbridge, GA, 30281",1687320
p1655464,ATL00212,3743,156 King David Dr SW,"156 King David Dr SW, Lilburn, GA, 30047",1687321
p1655465,ATL00213,3744,1858 Taffeta Trail,"1858 Taffeta Trail, Lithonia, GA, 30058",1687322
p1655466,ATL00214,3745,3792 Walnut Creek Way,"3792 Walnut Creek Way, Lithonia, GA, 30038",1687323
p1655467,ATL00215,3746,1137 Walnut Creek Lane,"1137 Walnut Creek Lane, Jonesboro, GA, 30238",1687324
p1655468,ATL00216,3747,4260 Cedar Valley Ct,"4260 Cedar Valley Ct, Conley, GA, 30288",1687325
p1655469,ATL00217,3748,3725 Patti Parkway,"3725 Patti Parkway, Decatur, GA, 30034",1687326
p1655470,ATL00218,3749,1098 Deshon Trail,"1098 Deshon Trail, Lithonia, GA, 30058",1687327
p1655471,ATL00219,3750,1740 Neighborhood Walk,"1740 Neighborhood Walk, McDonough, GA, 30252",1687328
p1655472,ATL00220,3751,1380 High Country Ct,"1380 High Country Ct, Marietta, GA, 30066",1687329
p1655473,ATL00221,3752,3315 Colgan Trace,"3315 Colgan Trace, Lawrenceville, GA, 30044",1687330
p1655474,ATL00222,3753,911 Walnut Creek Ln,"911 Walnut Creek Ln, Jonesboro, GA, 30238",1687331
p1655475,ATL00223,3754,1344 Crestridge Ln,"1344 Crestridge Ln, Riverdale, GA, 30296",1687332
p1655476,ATL00224,3755,1512 Daniel Lane,"1512 Daniel Lane, Lawrenceville, GA, 30046",1687333
p1655477,ATL00225,3756,8868 Sterling Ridge Ln,"8868 Sterling Ridge Ln, Jonesboro, GA, 30238",1687334
p1655478,ATL00226,3757,11768 Wellsley Way,"11768 Wellsley Way, Alpharetta, GA, 30005",1687335
p1655479,ATL00227,3758,11365 Michelle Way,"11365 Michelle Way, Hampton, GA, 30228",1687336
p1655480,ATL00228,3759,4167 Shiloh Ridge Trl,"4167 Shiloh Ridge Trl, Kennesaw, GA, 30144",1687337
p1655481,ATL00229,3760,3128 Columbia Woods Dr,"3128 Columbia Woods Dr, Decatur, GA, 30032",1687338
p1655482,ATL00230,3761,1324 Gates Cir,"1324 Gates Cir, Atlanta, GA, 30316",1687339
p1655483,ATL00231,3762,1033 Misty Meadows Lane,"1033 Misty Meadows Lane, Hampton, GA, 30228",1687340
p1655484,ATL00232,3763,926 Iron Gate Boulevard,"926 Iron Gate Boulevard, Jonesboro, GA, 30238",1687341
p1655485,ATL00233,3764,8702 Goswell Drive,"8702 Goswell Drive, Jonesboro, GA, 30238",1687342
p1655486,ATL00234,3765,3264 Sugar Creek Trce SE,"3264 Sugar Creek Trce SE, Atlanta, GA, 30316",1687343
p1655487,ATL00235,3766,12473 Lakeside Pkwy,"12473 Lakeside Pkwy, Fayetteville, GA, 30215",1687344
p1655488,ATL00236,3767,1352 Stone Bay Drive Southwest,"1352 Stone Bay Drive Southwest, Atlanta, GA, 30331",1687345
p1655489,ATL00237,3768,408 Chadwick Cmns,"408 Chadwick Cmns, Stockbridge, GA, 30281",1687346
p1655490,ATL00238,3769,5967 Magnolia Ridge,"5967 Magnolia Ridge, Stone Mountain, GA, 30087",1687347
p1655491,ATL00239,3770,2248 Emerald Springs Drive,"2248 Emerald Springs Drive, Decatur, GA, 30035",1687348
